시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설연도,전화번호,데이터기준일자,제공기관코드,제공기관명
부평깡시장,상설장,인천광역시 부평구 주부토로32번길 25,인천광역시 부평구 부평동 252-3,매일,37.49788036,126.7265347,145,농산물+축산물+수산물,,http://www.bpmarket.kr/main/index.php,Y,Y,1950,032-502-7175,2025-11-10,B553077,소상공인시장진흥공단
해운대시장,상설장,부산광역시 해운대구 구남로41번길 22-1,부산광역시 해운대구 중동 1394-193,매일,35.16140447,129.1623121,106,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1910,051-746-3001,2025-11-10,B553077,소상공인시장진흥공단
우동종합상가시장,상설장,부산광역시 해운대구 해운대로383번길 37-10,부산광역시 해운대구 우동 1092-1,매일,35.17067916,129.1388637,45,농산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1978,,2025-11-10,B553077,소상공인시장진흥공단
학익시장,상설장,인천광역시 미추홀구 한나루로 400,인천광역시 미추홀구 학익동 264-6,매일,37.44350822,126.6649646,80,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1962,032-873-4723,2025-11-10,B553077,소상공인시장진흥공단
인천남부종합시장,상설장,인천광역시 미추홀구 인하로 274-30,인천광역시 미추홀구 주안동 1315-19,매일,37.44737486,126.6783959,123,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1987,032-864-1331,2025-11-10,B553077,소상공인시장진흥공단
신기시장,상설장,인천광역시 미추홀구 미추홀대로547,인천광역시 미추홀구 주안동 1311-17,매일,37.44621321,126.6786492,125,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1975,032-865-5424,2025-11-10,B553077,소상공인시장진흥공단
신평골목시장,상설장,부산광역시 사하구 다대로134번길 27,부산광역시 사하구 신평동 111-282,매일,35.09107824,128.9771235,106,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,,,Y,Y,1975,051-208-3848,2025-11-10,B553077,소상공인시장진흥공단
토지금고시장,상설장,인천광역시 미추홀구 낙섬중로38번길 5,인천광역시 미추홀구 용현동 617-55,매일,37.45154621,126.6378049,120,농산물+축산물+수산물+가공식품+의류+음식점,,,Y,Y,2001,032-887-8987,2025-11-10,B553077,소상공인시장진흥공단
개금골목시장,상설장,부산광역시 부산진구 가야공원로 14번길 85,부산광역시 부산진구 개금동 173-2,매일,35.15183238,129.0247972,111,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,N,1975,051-892-2606,2025-11-10,B553077,소상공인시장진흥공단
인천용남시장,상설장,인천광역시 미추홀구 인주대로 266번길17-1,인천광역시 미추홀구 용현동 4-2,매일,37.45189911,126.6658426,66,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1975,032-208-6011,2025-11-10,B553077,소상공인시장진흥공단
중앙시장,상설장,인천광역시 동구 중앙로 68,인천광역시 동구 송현동 100-12,매일,37.47535505,126.6333376,57,의류,,,N,Y,1972,,2025-11-10,B553077,소상공인시장진흥공단
송현자유시장,상설장,인천광역시 동구 중앙로 82,인천광역시 동구 송현동 100-179,매일,37.4757769,126.6328155,91,의류,,,Y,N,1962,,2025-11-10,B553077,소상공인시장진흥공단
중앙식료시장,상설장,전라남도 목포시 삼일로13번길 18-2,전라남도 목포시 남교동 88-29,매일,34.79403892,126.3817975,80,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1968,061-242-9920,2025-11-10,B553077,소상공인시장진흥공단
목포종합수산시장,상설장,전라남도 목포시 해안로 265-4,전라남도 목포시 광동1가 4-13,매일,34.7877699,126.3898749,140,수산물+가공식품+음식점,,,Y,Y,1989,061-245-5096,2025-11-10,B553077,소상공인시장진흥공단
창평전통시장,상설장+5일장,전라남도 담양군 창평면 사동길 14-25,전라남도 담양군 창평면 창평리 209-1,5일+10일,35.23810491,127.0149083,57,농산물+축산물+수산물+가공식품+가정용품+음식점,,,Y,Y,1919,,2025-11-10,B553077,소상공인시장진흥공단
영산포풍물시장,5일장,전라남도 나주시 풍물시장2길 12-14,전라남도 나주시 이창동 764,5일+10일,34.99199963,126.7072636,204,농산물+축산물+수산물+가공식품+신발+음식점,,,Y,Y,2003,,2025-11-10,B553077,소상공인시장진흥공단
나주목사고을시장,상설장+4일장,전라남도 나주시 청동길 14,전라남도 나주시 삼도동 1388-2,4일+9일,35.03624663,126.7237639,125,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2012,061-334-8249,2025-11-10,B553077,소상공인시장진흥공단
다시5일시장,3일장,전라남도 나주시 다시면 다시로 168-72,전라남도 나주시 다시면 동곡리 39-46,3일+8일,35.01574218,126.635656,40,농산물+수산물+가공식품,,,Y,Y,1920,,2025-11-10,B553077,소상공인시장진흥공단
풍납시장,상설장,서울특별시 송파구 바람드리길 15-1,서울특별시 송파구 풍납동 88-61,매일,37.53803468,127.1176729,143,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,,,Y,Y,1960,02-472-2050,2025-11-10,B553077,소상공인시장진흥공단
공산5일시장,상설장,전라남도 나주시 공산면 덕음로 3-1,전라남도 나주시 공산면 금곡리 855-1,1일+6일,34.94263855,126.6091667,15,농산물+수산물+가정용품,,,Y,N,1964,,2025-11-10,B553077,소상공인시장진흥공단
지리산나들이장터,상설장,전라남도 구례군 산동면 지리산온천로 126,전라남도 구례군 산동면 원촌리 38,매일,35.31147841,127.444496,22,농산물+가공식품+음식점+근린생활서비스,,,Y,Y,2014,,2025-11-10,B553077,소상공인시장진흥공단
구례상설시장,상설장,전라남도 구례군 구례읍 구례1길 45-6,전라남도 구례군 구례읍 봉동리 378-1,매일,35.20961971,127.465751,42,농산물+축산물+수산물+가공식품,,,Y,Y,1976,,2025-11-10,B553077,소상공인시장진흥공단
구례5일시장,3일장,전라남도 구례군 구례읍 5일시장작은길 20,전라남도 구례군 구례읍 봉동리 190-1,3일+8일,35.21015279,127.4700811,168,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,,,Y,Y,1959,061-782-8484,2025-11-10,B553077,소상공인시장진흥공단
중마시장,상설장,전라남도 광양시 중마중앙로 88,전라남도 광양시 중동 1732-3,매일,34.93820196,127.6988477,79,농산물+축산물+수산물+가공식품+음식점,,,Y,Y,1994,061-795-3484,2025-11-10,B553077,소상공인시장진흥공단
옥곡5일시장,4일장,전라남도 광양시 옥곡면 큰골1길 2-26,전라남도 광양시 옥곡면 신금리 1337-1,4일+9일,34.98850818,127.7002388,57,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1962,061-772-2022,2025-11-10,B553077,소상공인시장진흥공단
광영상설시장,상설장,전라남도 광양시 광영시장길 19,전라남도 광양시 광영동 682,매일,34.96144871,127.7203625,42,농산물+축산물+수산물+가공식품+음식점,,,Y,Y,1987,,2025-11-10,B553077,소상공인시장진흥공단
포방터시장,상설장,서울특별시 서대문구 포방터길 43,서울특별시 서대문구 홍은동 9-123,매일,37.5986742,126.9488953,89,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1960,,2025-11-10,B553077,소상공인시장진흥공단
옥과5일시장,4일장,전라남도 곡성군 옥과면 리문8길 14,전라남도 곡성군 옥과면 리문리 254-5,4일+9일,35.2759017,127.1379523,44,농산물+축산물+수산물+의류+신발+가정용품+음식점,,,Y,Y,1964,061-363-1342,2025-11-10,B553077,소상공인시장진흥공단
석곡전통시장,5일장,전라남도 곡성군 석곡면 석곡로 70,전라남도 곡성군 석곡면 석곡리 80-2,5일+10일,35.1329487,127.2540916,46,농산물+축산물+수산물+가정용품,,,Y,Y,1956,061-360-7453,2025-11-10,B553077,소상공인시장진흥공단
곡성기차마을전통시장,3일장,전라남도 곡성군 곡성읍 곡성로 856,전라남도 곡성군 곡성읍 읍내리 208,3일+8일,35.27976851,127.2984376,123,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,,,Y,Y,1956,061-363-8002,2025-11-10,B553077,소상공인시장진흥공단
동강전통시장,상설장,전라남도 고흥군 원유둔4길 13-1,전라남도 고흥군 동강면 유둔리 7-42,1일+6일,34.78037382,127.3349881,27,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1948,,2025-11-10,B553077,소상공인시장진흥공단
도화전통시장,5일장,전라남도 고흥군 도화면 동신길 16-6,전라남도 고흥군 도화면 당오리 568-1,5일+10일,34.50979056,127.3218794,20,농산물+수산물,,,Y,Y,1958,,2025-11-10,B553077,소상공인시장진흥공단
녹동전통시장,상설장+3일장,전라남도 고흥군 도양읍 녹동남촌1길 24,전라남도 고흥군 도양읍 봉암리 2699-70,3일+8일,34.52787689,127.138330,65,농산물+축산물+수산물,,,Y,Y,1947,,2025-11-10,B553077,소상공인시장진흥공단
과역전통시장,5일장,전라남도 고흥군 과역면 시장안길 15,전라남도 고흥군 과역면 과역리 162,5일+10일,34.67945419,127.3622537,31,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1946,,2025-11-10,B553077,소상공인시장진흥공단
고흥전통시장,상설장+4일장,전라남도 고흥군 고흥읍 시장길 1,전라남도 고흥군 고흥읍 남계리 627-1,4일+9일,34.60835226,127.2866005,170,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1915,061-833-3203,2025-11-10,B553077,소상공인시장진흥공단
병영시장,상설장+3일장,전라남도 강진군 병영면 남삼인길 6,전라남도 강진군 병영면 삼인리 318,3일+8일,34.71380066,126.8155558,14,농산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1932,,2025-11-10,B553077,소상공인시장진흥공단
마량시장,상설장+3일장,전라남도 강진군 마량면 마량5길 11,전라남도 강진군 마량면 마량리 987-11,3일+8일,34.45095924,126.8165817,40,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,,,Y,Y,1979,,2025-11-10,B553077,소상공인시장진흥공단
강진읍시장,상설장+4일장,전라남도 강진군 강진읍 동성로 17,전라남도 강진군 강진읍 동성리 187-5,4일+9일,34.64016086,126.7743152,93,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1935,,2025-11-10,B553077,소상공인시장진흥공단
여수수산물특화시장,상설장,전라남도 여수시 남산로 60-31,전라남도 여수시 남산동 4,매일,34.73683093,127.7328973,131,수산물+음식점,,,Y,Y,2004,061-643-9944,2025-11-10,B553077,소상공인시장진흥공단
해안로건어물상가시장,상설장,전라남도 여수시 교동남2길 14,전라남도 여수시 교동 481,매일,34.73953431,127.7345263,35,수산물+가공식품,,,Y,Y,1980,,2025-11-10,B553077,소상공인시장진흥공단
중앙시장,상설장,전라남도 여수시 중앙로 43,전라남도 여수시 교동 400-1,매일,34.74059178,127.7325592,114,가공식품+의류+신발+가정용품+음식점+근린생활서비스,,,Y,Y,1975,061-662-4313,2025-11-10,B553077,소상공인시장진흥공단
(주)여수수산시장,상설장,전라남도 여수시 여객선터미널길 24,전라남도 여수시 교동 680,매일,34.73813576,127.7317623,106,수산물+가공식품+음식점,,,Y,Y,1969,061-662-7268,2025-11-10,B553077,소상공인시장진흥공단
대조시장,상설장,서울특별시 은평구 불광로 13,서울특별시 은평구 대조동 12-3,매일,37.60985344,126.9277428,59,농산물+축산물+수산물+가공식품,,,Y,Y,1976,02-382-5599,2025-11-10,B553077,소상공인시장진흥공단
지도 전통시장,상설장+3일장,전라남도 신안군 지도읍 읍내길 16-20,전라남도 신안군 지도읍 읍내리 168-6,3일+8일,35.0588198,126.2069832,64,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1955,,2025-11-10,B553077,소상공인시장진흥공단
괴목시장,4일장,전라남도 순천시 황전면 괴목길 17,전라남도 순천시 황전면 괴목리 45-21,4일+9일,35.10243423,127.4282445,48,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1964,,2025-11-10,B553077,소상공인시장진흥공단
순천시아랫장(순천아랫장),상설장,전라남도 순천시 장평로 60,전라남도 순천시 풍덕동 1264,2일+7일,34.94514825,127.496084,206,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1977,061-741-3334,2025-11-10,B553077,소상공인시장진흥공단
주암시장,상설장+3일장,전라남도 순천시 주암면 주암호길 5-1,전라남도 순천시 주암면 광천리 53,3일+8일,35.07598752,127.2352637,22,농산물+축산물+수산물+가공식품+의류+신발+가정용품,,,Y,Y,1964,,2025-11-10,B553077,소상공인시장진흥공단
승주시장,상설장,전라남도 순천시 승주읍 승주장길 14,전라남도 순천시 승주읍 서평리 422-9,1일+6일,35.01315903,127.387664,18,농산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1964,,2025-11-10,B553077,소상공인시장진흥공단
웃장,상설장+5일장,전라남도 순천시 북문길 40,전라남도 순천시 동외동 168-1,5일+10일,34.95864147,127.4850305,68,농산물+축산물+수산물+가공식품+의류+가정용품+음식점,,,Y,Y,1975,061-749-3493,2025-11-10,B553077,소상공인시장진흥공단
역전시장,상설장,전라남도 순천시 역전장길 9,전라남도 순천시 덕암동 227-1,매일,34.94374833,127.5033333,170,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1979,,2025-11-10,B553077,소상공인시장진흥공단
중앙시장,상설장,전라남도 순천시 중앙시장길 18,전라남도 순천시 남내동 119-1,매일,34.95326194,127.4846047,50,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1981,,2025-11-10,B553077,소상공인시장진흥공단
조성5일시장,5일장,전라남도 보성군 조성면 조성로 90-6,전라남도 보성군 조성면 조성리 513-1,5일+10일,34.80647615,127.2452824,22,농산물,,,Y,Y,1964,,2025-11-10,B553077,소상공인시장진흥공단
복내5일시장,4일장,전라남도 보성군 복내면 송재로 1838-12,전라남도 보성군 복내면 복내리 152-14,4일+9일,34.89370035,127.1331421,25,농산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1989,,2025-11-10,B553077,소상공인시장진흥공단
보성매일시장,상설장,전라남도 보성군 보성읍 신흥길 9,전라남도 보성군 보성읍 보성리 895-3,매일,34.76817918,127.0806162,31,농산물+축산물+수산물+가공식품+가정용품+음식점,,,Y,Y,1964,,2025-11-10,B553077,소상공인시장진흥공단
녹차골보성향토시장(보성읍5일시장),상설장,전라남도 보성군 보성읍 현충로 42-1,전라남도 보성군 보성읍 원봉리 2-22,2일+7일,34.76564839,127.0772384,99,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1955,,2025-11-10,B553077,소상공인시장진흥공단
벌교매일시장,상설장,전라남도 보성군 벌교읍 시장2길 10-41,전라남도 보성군 벌교읍 벌교리 887-22,매일,34.84300877,127.3459893,83,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2013,,2025-11-10,B553077,소상공인시장진흥공단
벌교전통시장,4일장,전라남도 보성군 벌교읍 시장1길 10,전라남도 보성군 벌교읍 회정리 663-23,4일+9일,34.84493134,127.3450789,49,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1964,,2025-11-10,B553077,소상공인시장진흥공단
일로전통시장,상설장,전라남도 무안군 일로읍 시장길 11-22,전라남도 무안군 일로읍 월암리 112,1일+6일,34.84753364,126.4943339,56,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2005,,2025-11-10,B553077,소상공인시장진흥공단
용산용문시장,상설장,서울특별시 용산구 효창원로40길 13,서울특별시 용산구 용문동 41-44,매일,37.53661783,126.9597883,156,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1948,02-2275-0881,2025-11-10,B553077,소상공인시장진흥공단
동부시장,상설장,전라남도 목포시 영산로257번길 14,전라남도 목포시 용당동 1046-8,매일,34.80467356,126.3936914,268,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1972,061-276-5787,2025-11-10,B553077,소상공인시장진흥공단
항동시장,상설장,전라남도 목포시 수강로12번길 2,전라남도 목포시 수강동1가 1,매일,34.78600878,126.3856159,115,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2005,061-247-8272,2025-11-10,B553077,소상공인시장진흥공단
청호시장,상설장,전라남도 목포시 석현로 28,전라남도 목포시 석현동 1171,매일,34.81537749,126.4245916,202,농산물+축산물+수산물+가공식품+음식점,,,Y,Y,1999,061-284-4489,2025-11-10,B553077,소상공인시장진흥공단
신중앙시장,상설장,전라남도 목포시 원산중앙로 51,전라남도 목포시 산정동 1732,매일,34.81025124,126.3775235,101,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1998,061-273-1732,2025-11-10,B553077,소상공인시장진흥공단
자유시장,상설장,전라남도 목포시 자유로 122,전라남도 목포시 산정동 1383,매일,34.79292001,126.4030678,168,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1999,061-245-1615,2025-11-10,B553077,소상공인시장진흥공단
정남진장흥토요시장,상설장,전라남도 장흥군 장흥읍 토요시장1길 53,전라남도 장흥군 장흥읍 예양리 158-2,2일+7일,34.67727214,126.903159,140,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,https://www.jangheung.go.kr/jnjmarket,Y,Y,1961,,2025-11-10,B553077,소상공인시장진흥공단
장평시장,상설장,전라남도 장흥군 장평면 장택길 13,전라남도 장흥군 장평면 양촌리 224,1일+6일,34.77539717,126.9778669,12,농산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1982,,2025-11-10,B553077,소상공인시장진흥공단
용산시장,상설장,전라남도 장흥군 용산면 용인길 4,전라남도 장흥군 용산면 인암리 800-1,1일+6일,34.61490641,126.9153133,7,농산물+가공식품+의류+음식점,,,Y,Y,1992,,2025-11-10,B553077,소상공인시장진흥공단
대덕읍전통시장(대덕시장),상설장+5일장,전라남도 장흥군 대덕읍 거정2길 10,전라남도 장흥군 대덕읍 신월리 111,5일+10일,34.49944415,126.8871414,27,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1985,,2025-11-10,B553077,소상공인시장진흥공단
천관산관광시장,상설장+3일장,전라남도 장흥군 관산읍 칠관로 1559-4,전라남도 장흥군 관산읍 옥당리 489-1,3일+8일,34.56277107,126.9370717,39,농산물+축산물+수산물+가공식품+신발+가정용품+음식점,,,Y,Y,1961,,2025-11-10,B553077,소상공인시장진흥공단
황룡시장,4일장,전라남도 장성군 황룡면 삼월길 5,전라남도 장성군 황룡면 월평리 151-1,4일+9일,35.2916867,126.7738864,119,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1964,,2025-11-10,B553077,소상공인시장진흥공단
사창시장,상설장,전라남도 장성군 삼계면 사창로 81-2,전라남도 장성군 삼계면 사창리 482-44,2일+7일,35.26039872,126.6630702,36,농산물+축산물+수산물+가공식품+의류+신발+음식점,,,Y,Y,1998,,2025-11-10,B553077,소상공인시장진흥공단
사거리시장,상설장,전라남도 장성군 북이면 사남북길 22,전라남도 장성군 북이면 사거리 699,1일+6일,35.42767379,126.8072694,30,농산물+축산물+수산물+의류+신발+가정용품+음식점,,,Y,Y,1964,,2025-11-10,B553077,소상공인시장진흥공단
완도중앙시장,상설장,전라남도 완도군 완도읍 장보고대로 282-1,전라남도 완도군 완도읍 군내리 1371,매일,34.31446812,126.7552341,7,농산물+수산물+음식점,,,Y,Y,1975,,2025-11-10,B553077,소상공인시장진흥공단
완도남양시장(구 완도종합시장),5일장,전라남도 완도군 완도읍 개포로56번길 16-4,전라남도 완도군 완도읍 군내리 1249,5일+10일,34.31651727,126.7477207,27,농산물+수산물+의류+신발+음식점,,,Y,N,1990,,2025-11-10,B553077,소상공인시장진흥공단
완도전통시장(구 완도5일시장),상설장,전라남도 완도군 완도읍 개포로 34-1,전라남도 완도군 완도읍 군내리 1249-2,매일,34.31610369,126.7482543,24,농산물+수산물+음식점,,,Y,Y,1981,061-553-7300,2025-11-10,B553077,소상공인시장진흥공단
간석자유시장,상설장,인천광역시 남동구 백범로 312-1,인천광역시 남동구 간석동 41-1,매일,37.46388599,126.7153438,138,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,,,Y,N,1970,032-434-7778,2025-11-10,B553077,소상공인시장진흥공단
남창옹기종기시장,상설장+3일장,울산광역시 울주군 온양읍 남창장터길 24,울산광역시 울주군 온양읍 남창리 146,3일+8일,35.41669194,129.2827796,22,농산물+수산물+가공식품+의류+신발+음식점,,,Y,Y,1916,052-238-3260,2025-11-10,B553077,소상공인시장진흥공단
신북5일시장,3일장,전라남도 영암군 신북면 황금동로 78,전라남도 영암군 신북면 월평리 126-3,3일+8일,34.88859606,126.6922282,28,농산물+축산물+수산물+가공식품+의류+신발+가정용품,,,Y,N,1964,,2025-11-10,B553077,소상공인시장진흥공단
시종5일시장,상설장,전라남도 영암군 시종면 내동중앙로 26,전라남도 영암군 시종면 만수리 937-9,2일+7일,34.8674024,126.6080951,46,농산물+축산물+수산물+가공식품+의류+가정용품,,,Y,Y,1969,,2025-11-10,B553077,소상공인시장진흥공단
영광터미널시장,상설장,전라남도 영광군 영광읍 신남로3길 5-3,전라남도 영광군 영광읍 남천리 321-1,매일,35.27553643,126.5030198,91,농산물+축산물+수산물+가공식품+의류+가정용품,,,Y,Y,1993,061-351-9811,2025-11-10,B553077,소상공인시장진흥공단
영광고추특화시장,상설장,전라남도 영광군 영광읍 신남로 100-25,전라남도 영광군 영광읍 신하리 324-3,1일+6일,35.27472202,126.4935505,42,농산물,,,Y,Y,1995,,2025-11-10,B553077,소상공인시장진흥공단
수암상가시장,상설장,울산광역시 남구 수암로 128번길 12,울산광역시 남구 야음동 697-9,매일,35.52697941,129.3207648,83,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2005,052-275-4041,2025-11-10,B553077,소상공인시장진흥공단
도깨비시장,상설장,전라남도 여수시 학동서5길 18,전라남도 여수시 학동 58-7,매일,34.76331689,127.6565415,121,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,,,Y,Y,1988,,2025-11-10,B553077,소상공인시장진흥공단
진남시장,상설장,전라남도 여수시 학동1길 10,전라남도 여수시 학동 35-1,매일,34.76425827,127.6641294,116,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,,,Y,Y,1984,,2025-11-10,B553077,소상공인시장진흥공단
제일시장,상설장,전라남도 여수시 학동2길 7-4,전라남도 여수시 학동 35-2,매일,34.76419231,127.6646531,61,농산물+수산물+가공식품+가정용품+음식점,,,Y,Y,1986,,2025-11-10,B553077,소상공인시장진흥공단
쌍봉시장,상설장,전라남도 여수시 학동2길 7,전라남도 여수시 학동 35-3,매일,34.76414545,127.6649804,25,농산물+축산물+수산물+가공식품+의류+가정용품+음식점+근린생활서비스,,,Y,Y,1989,,2025-11-10,B553077,소상공인시장진흥공단
중앙선어시장,상설장,전라남도 여수시 중앙로 88-1,전라남도 여수시 중앙동 362-1,매일,34.73942888,127.7370587,78,수산물,,,Y,Y,1945,061-662-7268,2025-11-10,B553077,소상공인시장진흥공단
덕양시장,상설장,전라남도 여수시 소라면 하세동길 7,전라남도 여수시 소라면 덕양리 1271,매일,34.79802722,127.6314434,15,음식점,,,Y,Y,1932,,2025-11-10,B553077,소상공인시장진흥공단
전의왕의물시장,상설장,세종특별자치시 전의면 장터길33,세종특별자치시 전의면 읍내리 236-2,2일+7일,36.6777398,127.2058824,78,의류+음식점,,,Y,Y,1946,044-864-2259,2025-11-10,B553077,소상공인시장진흥공단
(주)서시장,상설장,전라남도 여수시 좌수영로 16-6,전라남도 여수시 서교동 280,매일,34.74178725,127.7286168,230,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,,,Y,Y,1982,,2025-11-10,B553077,소상공인시장진흥공단
춘천중앙시장,상설장,강원특별자치도 춘천시 중앙로77번길 4-4,강원특별자치도 춘천시 중앙로2가 42-68,매일,37.87848771,127.7257515,177,의류+신발+음식점,,,Y,Y,1960,,2025-11-10,B553077,소상공인시장진흥공단
제일종합시장,상설장,강원특별자치도 춘천시 약사고개길13,강원특별자치도 춘천시 죽림동 32,매일,37.87748571,127.7260713,244,의류+신발+음식점,,,Y,Y,1985,,2025-11-10,B553077,소상공인시장진흥공단
북부시장,상설장,충청북도 청주시 청원구 향군로 31번길 19,충청북도 청주시 청원구 우암동 344-10,매일,36.64797204,127.4862188,145,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1970,043-224-8085,2025-11-10,B553077,소상공인시장진흥공단
서부시장상점가(서부시장 통합),상설장,전북특별차치도 전주시 완산구 효동 2길 14-8,전북특별차치도 전주시 완산구 효자동1가 201-63,매일,35.80524873,127.1266694,143,농산물+축산물+수산물+의류+음식점,,,Y,Y,,063-228-1616,2025-11-10,B553077,소상공인시장진흥공단
춘천서부시장,상설장,강원특별자치도 춘천시 서부대성로12,강원특별자치도 춘천시 소양로2가 172-1,매일,37.88480147,127.7246493,140,의류+가정용품+음식점,,,Y,Y,1992,,2025-11-10,B553077,소상공인시장진흥공단
춘천번개시장,상설장,강원특별자치도 춘천시 소양로 212,강원특별자치도 춘천시 소양로1가 93-10,매일,37.89182707,127.726303,55,농산물+수산물+음식점,,,Y,Y,2014,,2025-11-10,B553077,소상공인시장진흥공단
와수시장,상설장,강원특별자치도 철원군 서면 와수로 184번길 6-3,강원특별자치도 철원군 서면 와수리 1171-92,1일+6일,38.23945913,127.4394932,59,농산물+축산물+가공식품+의류+신발+음식점,,,Y,Y,1978,033-458-9688,2025-11-10,B553077,소상공인시장진흥공단
동송전통시장,상설장,강원특별자치도 철원군 동송읍 이평로 47번길 19,강원특별자치도 철원군 동송읍 이평리 678-49,매일,38.2089011,127.2192097,120,농산물+축산물+수산물+가공식품+신발+가정용품+음식점,,,Y,Y,1981,033-455-6262,2025-11-10,B553077,소상공인시장진흥공단
동송시장,상설장+5일장,강원특별자치도 철원군 동송읍 이평로 47번길 16,강원특별자치도 철원군 동송읍 이평리 680-1,5일+10일,38.2088079,127.218867,35,농산물+수산물+가공식품+음식점,,,Y,Y,1982,033-455-2230,2025-11-10,B553077,소상공인시장진흥공단
신철원시장,상설장+3일장,강원특별자치도 철원군 갈말읍 삼부연로18번길 16-2,강원특별자치도 철원군 갈말읍 신철원리 697,3일+8일,38.14471979,127.3100285,70,농산물+축산물+가공식품+음식점,,,Y,Y,1980,033-452-5350,2025-11-10,B553077,소상공인시장진흥공단
역곡남부시장,상설장,경기도 부천시 소사구 부광로16번길 33,경기도 부천시 소사구 괴안동 107-8,매일,37.48253123,126.8115462,68,농산물+축산물+수산물+가공식품+의류,,,Y,N,1983,070-7376-2804,2025-11-10,B553077,소상공인시장진흥공단
임계사통팔달시장,상설장+5일장,강원특별자치도 정선군 임계면 송계3길 12,강원특별자치도 정선군 임계면 송계리 774-5,5일+10일,37.49511059,128.852576,63,농산물+음식점,,,Y,Y,1965,033-562-2930,2025-11-10,B553077,소상공인시장진흥공단
정선사북시장,상설장,강원특별자치도 정선군 사북읍 사북2길 6 - 1,강원특별자치도 정선군 사북읍 사북리 366-59,매일,37.22735829,128.8162148,67,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1965,033-591-7277,2025-11-10,B553077,소상공인시장진흥공단
